Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Install Date,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
242052,WEST END LANE,South Hampstead,NW6 2LU,S/O NO. 100,35/18,110,Generic LED Lighting,Lighting Column,800,No,31/12/2021,525527,184587,-0.191107,51.546227,POINT (-0.191107 51.546227),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
241653,HILGROVE ROAD,South Hampstead,NW8 0SE,J/W ALEXANDRA ROAD,35/18,48,Generic LED Lighting,Lighting Column,800,No,24/11/2023,526557,184096,-0.176438,51.541584,POINT (-0.176438 51.541584),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
241391,CLEVE ROAD,South Hampstead,NW6 3RR,OPP. NO. 3,35/18,48,Generic LED Lighting,Lighting Column,600,No,24/12/2023,525602,184363,-0.190106,51.544197,POINT (-0.190106 51.544197),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
240864,MAYGROVE ROAD,West Hampstead,NW6 2EB,S/O NO. 38,35/18,50,Generic LED Lighting,Lighting Column,800,No,,524795,184707,-0.201616,51.547468,POINT (-0.201616 51.547468),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
246147,BARTHOLOMEW ROAD,Kentish Town South,NW5 2AH,FRONT OF N 23,35/18,102,Generic LED Lighting,Lighting Column,800,No,31/12/2021,529165,184634,-0.138654,51.545829,POINT (-0.138654 51.545829),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
246216,COUNTESS ROAD,Kentish Town North,NW5 2XJ,BY 42,35/18,51,Generic LED Lighting,Lighting Column,600,No,31/12/2021,529311,185450,-0.13625,51.553129,POINT (-0.13625 51.553129),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
246180,BONNY STREET,Camden Town,NW1 9PG,FRONT OF N 2,35/18,56,Generic LED Lighting,Lighting Column,600,No,31/12/2021,529087,184163,-0.139951,51.541614,POINT (-0.139951 51.541614),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
1375,WELL WALK,Hampstead Town,NW3 1LT,OPP NO 26,35/18,39,Generic LED Lighting,Lighting Column,400,Yes,31/10/2021,526670,185973,-0.174134,51.558428,POINT (-0.174134 51.558428),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
262892,ROSSENDALE WAY,Kings Cross,NW1 0XB,OUTSIDE 5-7,35/18,21,Generic LED Lighting,Lighting Column,500,No,26/02/2024,529453,184018,-0.13473,51.540227,POINT (-0.13473 51.540227),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
250797,THORNHAUGH STREET,Bloomsbury,WC1B 5EA,O/S 9,35/18,60,Generic LED Lighting,Lighting Column,600,No,24/11/2023,529957,182021,-0.128203,51.522165,POINT (-0.128203 51.522165),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
