LSOA Code,Decayed Combined Score
E01000191,575.4966552499659
E01000191,1102.0772576134173
E01000192,1722.1648711636367
E01000192,6109.789210441934
E01000193,2334.187545730475
E01000193,10973.910295266856
E01000194,1912.7939771197753
E01000194,4829.417213972023
E01000195,2321.861901818238
E01000195,3706.5976433394817
E01000196,1405.1082933280697
E01000196,4656.798372031287
E01000197,1097.6422553709308
E01000197,2208.612019428193
E01000198,1291.8187038795209
E01000198,1977.2383418158984
E01000199,823.8362866039662
E01000199,1437.4483130665487
E01000200,1158.5591070984328
E01000200,1545.9914496872543
E01000201,1284.1414241478444
E01000201,1699.1081723966372
E01000202,1259.3799962361568
E01000202,1328.0341552062503
E01000203,1565.621817351977
E01000203,2330.549416879407
E01000204,1134.1123626119308
E01000204,2094.495889086563
E01000205,1657.1473261714918
E01000205,1718.068191654776
E01000206,2550.8419235212045
E01000206,2096.0487589923746
E01000207,1536.9849136428265
E01000207,1930.9022722026646
E01000208,1346.6928000332223
E01000208,1819.5844134615954
E01000209,1308.8271894219736
E01000209,1463.8570681167255
E01000210,1316.5601932475145
E01000210,1518.5302683670168
E01000211,1732.4436051797359
E01000211,7339.172186305793
E01000212,1025.612808288408
E01000212,1603.5543101880705
E01000213,1273.7193448409166
E01000213,990.4833675687472
E01000214,1216.6984780254393
E01000214,2415.7448733565743
E01000215,971.4378960581114
E01000215,2236.9711098869357
E01000216,958.1543638249155
E01000216,1572.4018824013733
E01000217,927.0062561576847
E01000217,1185.2350247180357
E01000218,803.9527160686147
E01000218,2230.7812083872063
E01000219,1197.880575276763
E01000219,2406.9151637335367
E01000220,806.8374799782605
E01000220,2218.5339885194867
E01000221,3761.262146548111
E01000221,10185.291389521444
E01000222,1041.1928924574465
E01000222,2675.1273417858083
E01000223,2148.489458252959
E01000223,6313.799083647655
E01000224,754.9293374206121
E01000224,1689.6939466932602
E01000225,954.1222214644196
E01000225,1231.8039113474074
E01000226,879.0131519466141
E01000226,2155.89389333079
E01000227,785.7736737082753
E01000227,1607.668660723464
E01000228,862.5252688493807
E01000228,2171.8586000299483
E01000229,780.1630595885503
E01000229,1781.594144817272
E01000230,707.181959280103
E01000230,1486.1690878743939
E01000231,1140.2091642092676
E01000231,4249.215681567099
